,sub,motion
5,sub-0014,0.75722253
0,sub-0416,0.5906014
1,sub-0378,1.0503665
2,sub-0437,1.4180683
3,sub-0165,1.2796385
4,sub-0202,1.2157435
5,sub-0181,0.40740827
0,sub-0142,0.3227935
1,sub-0072,0.6978849
2,sub-0204,1.2261347
3,sub-0345,0.53259057
4,sub-0192,0.4479638
5,sub-0161,0.5515737
0,sub-0183,0.7862491
1,sub-0164,0.5407247
2,sub-0286,0.46954334
3,sub-0017,0.33053902
4,sub-0157,0.92893
5,sub-0233,0.6041128
0,sub-0053,1.2303855
1,sub-0011,1.7277666
2,sub-0246,0.82296354
3,sub-0212,0.56605524
4,sub-0273,1.6019373
5,sub-0379,0.44775358
0,sub-0003,0.7064322
1,sub-0405,0.64995295
2,sub-0253,0.8289563
3,sub-0425,1.112981
4,sub-0114,1.2073194
5,sub-0054,0.42558503
0,sub-0305,1.1471823
1,sub-0122,1.2548388
2,sub-0438,0.64918196
3,sub-0197,0.5322548
4,sub-0290,0.6190874
5,sub-0201,0.52605635
0,sub-0057,0.6565434
1,sub-0144,0.28391588
2,sub-0102,0.5189157
3,sub-0025,0.30889836
4,sub-0207,0.5548481
5,sub-0315,1.0902305
0,sub-0103,0.66676253
1,sub-0022,0.46104458
2,sub-0431,0.72111607
3,sub-0244,0.46254194
4,sub-0133,0.46841195
5,sub-0322,1.0884378
0,sub-0167,0.9282561
1,sub-0348,0.5579326
2,sub-0442,0.45660865
3,sub-0131,0.59250784
4,sub-0333,1.1390129
5,sub-0221,0.6193267
0,sub-0059,0.45173284
1,sub-0278,0.40153846
2,sub-0109,0.5028897
3,sub-0091,0.62673175
4,sub-0295,0.8745696
5,sub-0038,0.50127923
0,sub-0049,0.54836625
1,sub-0249,0.63676065
2,sub-0313,0.69857484
3,sub-0341,0.58828187
4,sub-0205,0.7121033
5,sub-0230,0.54386985
0,sub-0374,1.7088802
1,sub-0224,0.42132747
2,sub-0314,0.35911226
3,sub-0134,0.53934383
4,sub-0132,0.45514634
5,sub-0061,0.25621128
0,sub-0440,0.9290898
1,sub-0216,1.2232375
2,sub-0263,1.0418059
3,sub-0454,0.7933964
4,sub-0151,0.5175864
5,sub-0456,0.31066766
0,sub-0078,0.87512153
1,sub-0104,0.78791
2,sub-0106,1.2701102
3,sub-0120,1.227489
4,sub-0191,0.6077862
5,sub-0028,1.1735858
0,sub-0186,1.1654642
1,sub-0123,0.66537905
2,sub-0070,0.33455434
3,sub-0079,0.31605524
4,sub-0002,0.46505326
5,sub-0077,0.5122746
0,sub-0180,1.3867319
1,sub-0382,0.84964013
2,sub-0367,0.82660866
3,sub-0228,0.7520854
4,sub-0087,0.5712947
5,sub-0016,0.5305032
0,sub-0119,0.37834913
1,sub-0045,0.96882147
2,sub-0387,1.3048573
3,sub-0274,0.43780297
4,sub-0389,0.81574893
5,sub-0044,0.6902012
0,sub-0264,0.55667937
1,sub-0143,0.6829431
2,sub-0258,0.77931446
3,sub-0153,0.4341865
4,sub-0006,0.35720295
5,sub-0350,0.4051105
0,sub-0280,0.9644267
1,sub-0173,0.6829386
2,sub-0455,0.57433635
3,sub-0418,1.0270649
4,sub-0413,0.6939689
5,sub-0419,0.4187539
0,sub-0428,1.4141284
1,sub-0019,1.1168046
2,sub-0023,1.6035495
3,sub-0159,0.83478916
4,sub-0026,0.44855517
5,sub-0321,0.6575342
0,sub-0301,1.4822078
1,sub-0063,0.8235648
2,sub-0163,1.2082007
