sub,motion,mean_thickness,residual,residual_z,outlier_type,cluster
sub-0421,0.85031974,2.6172647058823526,0.17975634647269922,1.397403848018731,normal,0.0
sub-0417,1.1616058,2.5480735294117647,0.14418596715538623,1.1208840705039593,normal,0.0
sub-0344,0.6313183,2.6600882352941175,0.19892638176232147,1.5464293573041095,normal,0.0
sub-0299,1.4239085,2.243705882352941,-0.13185138503107385,-1.0249965379497996,normal,1.0
sub-0051,0.82690245,2.537897058823529,0.0978594889604123,0.7607476960998193,normal,0.0
sub-0121,0.7844399,2.6177499999999996,0.1731262151931081,1.345862018510213,normal,0.0
sub-0200,1.0381014,2.5130735294117654,0.09584673705964519,0.7451008090416973,normal,1.0
sub-0184,0.86128396,2.267661764705882,-0.16866239192718702,-1.3111608024971158,normal,2.0
sub-0004,0.34843773,2.532102941176471,0.040388257034230435,0.3139733695186954,normal,0.0
sub-0396,0.3902594,2.624470588235294,0.13727290007957826,1.0671427327269767,normal,0.0
sub-0085,0.49062508,2.398573529411765,-0.07778405183896941,-0.6046837037309957,normal,2.0
sub-0090,0.3237927,2.563014705882353,0.06863820786233576,0.5335850314609336,normal,0.0
sub-0174,1.1199524,2.515264705882353,0.10687832182796608,0.8308589995450723,normal,0.0
sub-0007,0.4139325,2.577676470588235,0.0930356219295696,0.7232475439021107,normal,0.0
sub-0039,1.4235548,2.428558823529412,0.052963354383477323,0.41173063800944426,normal,1.0
sub-0217,1.1223845,2.3381617647058826,-0.06996193768278358,-0.5438755451542081,normal,1.0
sub-0450,0.75171596,2.571367647058824,0.12320947671344751,0.9578153998467863,normal,0.0
sub-0135,0.74444324,2.3793529411764713,-0.06959072738193939,-0.5409898016853251,normal,2.0
sub-0444,0.80653554,2.651735294117647,0.20949797348590016,1.6286116181482653,normal,0.0
sub-0193,0.5057006,2.667764705882353,0.19303537293769502,1.5006333753441872,normal,0.0
sub-0101,0.5264957,2.533323529411765,0.0608401943729624,0.47296422851972963,normal,0.0
sub-0451,0.22033328,2.3765882352941174,-0.1289625124607432,-1.0025387959816798,normal,2.0
sub-0266,0.7030936,2.5012794117647053,0.0478697293449577,0.37213342005935146,normal,0.0
sub-0060,0.3902151,2.3240441176470594,-0.16315835517943134,-1.2683730941247806,normal,2.0
sub-0111,0.45269606,2.677308823529412,0.1968546762851906,1.5303241723550827,normal,0.0
sub-0339,0.80501026,2.1841029411764707,-0.2582991190182429,-2.0079857537088937,sensitive,2.0
sub-0397,0.77192086,2.6393823529411766,0.19340643529417756,1.5035179687117006,normal,0.0
sub-0406,0.90260607,2.5798970588235295,0.1480359426435256,1.1508133089841197,normal,0.0
sub-0287,0.87248904,2.2073970588235294,-0.22771688068074747,-1.7702431739756517,normal,2.0
sub-0166,1.4526849,2.2556029411764706,-0.11684629911760158,-0.9083488356194546,normal,1.0
sub-0289,0.60355926,2.4161176470588233,-0.0480423524645075,-0.3734753710738703,normal,2.0
sub-0040,1.5575342,2.5640147058823533,0.20288983085848544,1.5772407257319112,normal,1.0
sub-0316,0.66992253,2.3128235294117645,-0.14416883131946,-1.1207508586116794,normal,2.0
